League,Round,Day,Date,Time,First_Team_Name,First_Team_Score,First_Team_Win_Status,Second_Team_Name,Second_Team_Score,Location,Crowd_Attendance
AFL-M,9,Saturday,13 May,7:25 pm,Brisbane Lions,87,def.,Essendon,45,The Gabba,31898
AFL-M,9,Saturday,13 May,7:30 pm,Carlton,59,def. by,Western Bulldogs,79,Marvel Stadium,42756
AFL-M,9,Sunday,14 May,12:40 pm,Adelaide,121,def.,St Kilda,69,Adelaide Oval,33805
AFL-M,9,Sunday,14 May,4:40 pm,Collingwood,120,def.,Greater Western Sydney,55,Melbourne Cricket Ground,37631
AFL-M,10,Friday,19 May,7:20 pm,Yartapuulti,80,def.,Narrm,76,Adelaide Oval,37565
AFL-M,10,Saturday,20 May,1:45 pm,North Melbourne,90,def. by,Sydney,93,Marvel Stadium,21003
AFL-M,10,Saturday,20 May,2:10 pm,Western Bulldogs,85,def.,Adelaide,40,Mars Stadium,10114
AFL-M,10,Saturday,20 May,2:35 pm,Walyalup,106,def.,Geelong,77,Optus Stadium,45811
AFL-M,10,Saturday,20 May,7:30 pm,Brisbane Lions,107,def.,Gold Coast,64,The Gabba,23286
AFL-M,10,Saturday,20 May,7:40 pm,Essendon,71,def.,Richmond,70,Melbourne Cricket Ground,78300
AFL-M,10,Sunday,21 May,1:10 pm,Hawthorn,142,def.,West Coast,26,University of Tasmania Stadium,9135
AFL-M,10,Sunday,21 May,3:20 pm,Carlton,57,def. by,Collingwood,85,Melbourne Cricket Ground,80354
AFL-M,10,Sunday,21 May,4:40 pm,Greater Western Sydney,80,def. by,St Kilda,92,Giants Stadium,7508
AFL-M,11,Friday,26 May,7:50 pm,Sydney,77,def.,Carlton,51,Sydney Cricket Ground,36310
AFL-M,11,Saturday,27 May,1:45 pm,St Kilda,78,def. by,Hawthorn,88,Marvel Stadium,32022
AFL-M,11,Saturday,27 May,2:10 pm,Narrm,72,def. by,Walyalup,79,Melbourne Cricket Ground,29154
AFL-M,11,Saturday,27 May,4:35 pm,Geelong,74,def. by,Greater Western Sydney,81,GMHBA Stadium,21349
AFL-M,11,Saturday,27 May,6:55 pm,Gold Coast,84,def.,Western Bulldogs,77,TIO Stadium,9316
AFL-M,11,Saturday,27 May,5:40 pm,West Coast,46,def. by,Essendon,96,Optus Stadium,39269
AFL-M,11,Sunday,28 May,1:10 pm,Richmond,67,def. by,Yartapuulti,77,Melbourne Cricket Ground,30357
AFL-M,11,Sunday,28 May,3:20 pm,Collingwood,105,def.,North Melbourne,70,Marvel Stadium,39467
AFL-M,11,Sunday,28 May,4:10 pm,Adelaide,95,def.,Brisbane Lions,78,Adelaide Oval,33188
AFL-M,12,Friday,2 June,7:50 pm,Melbourne,61,def.,Carlton,44,Melbourne Cricket Ground,49872
AFL-M,12,Saturday,3 June,1:15 pm,Port Adelaide,151,def.,Hawthorn,96,Adelaide Oval,34234
AFL-M,12,Saturday,3 June,2:35 pm,West Coast,57,def. by,Collingwood,120,Optus Stadium,41713
AFL-M,12,Saturday,3 June,7:25 pm,Western Bulldogs,75,def. by,Geelong,97,Marvel Stadium,41944
AFL-M,12,Saturday,3 June,7:00 pm,Gold Coast,112,def.,Adelaide,87,TIO Stadium,10772
AFL-M,12,Sunday,4 June,1:10 pm,Greater Western Sydney,104,def. by,Richmond,110,Giants Stadium,9723
AFL-M,12,Sunday,4 June,4:40 pm,Essendon,105,def.,North Melbourne,99,Marvel Stadium,40488
AFL-M,13,Thursday,8 June,7:10 pm,Sydney,66,def. by,St Kilda,80,Sydney Cricket Ground,30123
AFL-M,13,Friday,9 June,7:50 pm,Western Bulldogs,85,def. by,Port Adelaide,107,Marvel Stadium,23110
